QUESTIONS,ANSWERS
"With thieves I consort, With the Vilest, in short, I'm quite at ease in depravity, Yet all divines use me, And savants can't lose me, For I am the century of gravity.",V
"I move without wings, Between silken string, I leave as you find, My substance behind.",Spider
"What flies forever, Rests never?",Wind
"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",Sunlight
"I crawl on the earth. And rise on a pillar.",Shadow
"They are many and one, they wave and they drum, Used to cover a state, they go with you everywhere.",Hands
"What must be in the oven yet can not be baked? Grows in the heat yet shuns the light of day? What sinks in water but rises with air? Looks like skin but is fine as hair?",Yeast
"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, Yet I still hold water.",Sponge
"What can be swallowed, But can also swallow you?",Pride
"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.",Birthday
"I run around the city, but I never move.",Wall
"As a whole, I am both safe and secure. Behead me, I become a place of meeting. Behead me again, I am the partner of ready. Restore me, I become the domain of beasts.",Stable
"Two horses, swiftest traveling, harnessed in a pair, and grazing ever in places. Distant from them.",Eyes
"At the sound of me, men may dream. Or stamp their feet. At the sound of me, women may laugh. Or sometimes weep.",Music
"To unravel me you need a simple key, no key that was made by locksmith's hand. But a key that only I will understand.",Riddle
"Long and think, red within, with a nail at the end.",Finger
"I'm sometimes white and always wrong. I can break a heart and hurt the strong. I can build love or tear it down. I can make a smile or bring a frown.",Lie
"You can tumble in it, roll in it, burn it, animal eat it. Used to cover floors, still used beyond stall doors. Freshens whatever it is placed on. Absorbs whatever is poured into it.",Hay
"I come in winter. I cannot see, hear, or feel. I can't eat, But you can eat parts of me.",Snowman
"Sometimes I am loud. And viewed with distaste. Poke out my 'eye', then I'm on the front of your face.",Noise
"What is it that has four legs, one head, and a foot?",Bed
"What makes a loud noise when changing its jacket. Becomes larger but weighs less?",Popcorn
"I am always hungry, I must always be fed. The finger I lick will soon turn red.",Fire
"Something wholly unreal, yet seems real to I. Think my friend, tell me where does it lie?",Mind
"No matter how little or how much you use me, you change me every month.",Calendar
"What can burn the eyes, sting the mouth, yet be consumed?",Salt
"What an fill a room but takes up no space?",Light
"It occurs once in every minute. Twice in every moment and yet never in one hundred thousand years.",M
"With pointed fangs it sits in wait. With piercing force it doles out fate, over bloodless victims proclaiming its might. Eternally joining in a single bite.",Stapler
"It holds most knowledge that has ever been said. But is not the brain, is not the head. To feathers and their masters, it's both bane and boonOne empty, and one full.",Paper
"Upon me you can tread, though softly under cover. And I will take you places, that you have yet to discover. I'm high, and I'm low, though flat in the middle. And though a joy to the children, adults think of me little.",Stairs
"A mile from end to end, yet as close to as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short and tall. But shared among children most of all.",Smile
"I have a hundred legs, but cannot stand. I have a long neck, but no head. I cannot see. I'm neat and tidy as can be.",Broom
"Flat as a leaf, round as a ring. Has two eyes, can't see a thing.",Button
"I don't think or eat or slumber. Or move around or fear thunder. Just like you I look the same but I can't harm you or be your bane.",Doll
"In marble halls as white as milk, lined with a skin as soft as silk. Within a fountain crystal-clear. A golden apple doth appear. No doors there are to this stronghold, yet thieves break in and steal the gold.",Egg
"What is it that you must give before you can keep it.",Word
"I dig out tiny caves and store gold and silver in them. I also build bridges of silver and make crowns of gold. They are the smallest you could imagine. Sooner or later everybody needs my help. Yet many people are afraid to let me help them.",Dentist
"What is long and slim, works in light. Has but one eye, and an awful bite?",Needle
"What lies in a tunnel of darkness. That can only attack when pulled back?",Bullet
"What has six faces and twenty-one eyes?",Die
"Until I am measured. I am not known, yet how you miss me when I have flown.",Time
"Three lives have I. Gentle enough to soothe the skin. Light enough to caress the sky. Hard enough to crack rocks.",Water
"I wear a red robe, with staff in hand, and a stone in my throat.",Cherry
"A warrior amongst the flowers, he bears a thrusting sword. He uses it whenever he must, to defend his golden hoard.",Bee
"I hide but my head is outside.",Nail
"A house full, a yard full, a chimney full, no one can get a spoonful.",Smoke
"You can spin, wheel and twist. But this thing can turn without moving.",Milk
"Halo of water, tongue of wood. Skin of stone, long I've stood. My fingers short reach to the sky. Inside my heart men live and die.",Castle
"When they are caught, they are thrown away. When they escape, you itch all day.",Fleas
"What does man love more than life, fear more than death or mortal strife. What the poor have, the rich require, and what contented men desire. What the miser spends, and the spendthrift saves. And all men carry to their graves.",Nothing
"In we go, out we go. All around and in a row. Always, always steady flow. When we'll stop, you'll never known. In we go, out we go.",Tides
"A cloud was my mother, the wind is my father. My son is the cool stream, and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place. And I'm the torment of man.",Rain
"Born of earth, but with none of its strength. Molded by flame, but with none of its power. Shaped",Glass
"Remove the outside. Cook the inside. Eat the outside. Throw away the inside.",Corn
"This is in a realm of true and in a realm false, but you experience me as you turn and toss.",Dream
"There is an ancient invention. Still used in some parts of the world today. That allows people to see through walls.",Window
"Some live in me, some live on. And some shave me to stride upon. I rarely leave my native land. Until my death I always stand. High and low I may be found. Both above and below ground.",Tree
"Metal or bone I may be, many teeth I have and always bared. Yet my bite harms no one. And ladies delight in my touch.",Comb
"I am a fire's best friend. When fat, my body fills with wind. When pushed to thin, through my nose I blow. Then you can watch the embers glow.",Bellows
"Every dawn begins with me. At dusk I'll be the first you see, and daybreak couldn't come without. What midday centers all about. Daises grow from me, I'm told. And when I come, I end all code, but in the sun I won't be found. Yet still, each day I'll be around.",D
"You heart it speak, for it has a hard tongue. But it cannot breathe, for it has not a lung.",Bell
"I cut through evil like a double edged sword, and chaos flees at my approach. Balance I single-handedly upraise, through battles fought with heart and mind, instead of with my gaze.",Justice
"The eight of us move forth and back. To protect our king from the foes attack.",Pawns
"He has one and a person has two. A citizen has three. And a human being has four. A personality has five. And an inhabitant of earth has six.",Syllable
"If you break me, I do not stop working. If you touch me, I may be snared. If you lose me, nothing will matter.",Heart
"What's in the middle of nowhere?",H
"What force and strength cannot get through. I, with a gentle touch, can do. Many in the street would stand. Were I not a friend at hand.",Key
"Often held but never touched. Always wet but never rusts. Often bits but seldom bit. To use it well you must have wit.",Tongue
"As round as an apple. As deep as a cup. All the king's horses can't pull it up.",Well
"He stands beside the road. In a purple cap at tattered green cloak. Those who touch him, curse him.",Thistle
"Power enough to smash ships and crush roofs. Yet it still must fear the sun.",Ice
"What surrounds the world, yet dwells within a thimble?",Space
"I cannot be other than what I am, until the man who made me dies. Power and glory will fall to me finally. Only when he last closes his eyes.",Prince
"What is it that makes tears without sorrow. And takes its journey to heaven?",Smoke
"Inside a great blue castle lives a shy young maid. She blushes in the morning and comes not out at night.",Sun
"This thing runs but cannot walk, sometimes sings but never talks. Lacks arms, has hands; lacks a head but has a face.",Clock
"A word I know, six letters it contains. Subtract just one and twelve remains.",Dozens
"I go in hard and dry. I come out soft and sticky. You can blow me.",Gum
"I am the yellow hem of the sea's blue skirt.",Beach
"A skin have I, more eyes than one. I can be very nice when I am done.",Potato
"I have four legs but no tail. Usually I am heard only at night.",Frog
"A tiny bead, like fragile glass, strung along a cord of grass.",Dew
"Break it and it is better, immediately set and harder to break again.",Record
"Each morning I appear to lie at your feet, all day I follow no matter how fast you run. Yet I nearly perish in the midday sun.",Shadow
"What do you throw out to use and take in when you're done?",Anchor
"What is it which builds things up? Lays mountains low? Dries up lakes, and makes things grow? Cares not a whim about your passing? And is like few other things, because it is everlasting?",Time
"I am the fountain from which no one can drink. For many I am considered a necessary link. Like gold to all I am sought for, but my continued death brings wealth for all to want more.",Oil
"Sleeping during the day, I hide away. Watchful through the night, I open at dawn's light. But only for the briefest time, do I shine. And then I hide away. And sleep through the day.",Sunrise
"A seed am I, three letters make my name. Take away two and I still sound the same.",Pea
"In the middle of night, I surround the gong. In the middle of sight, I end the song.",G
"Look into my face and I'm everybody. Scratch my back and I'm nobody.",Mirror
"Two brothers we are, great burdens we bear. All day we are bitterly pressed. Yet this I will say, we are full all the day, and empty when go to rest.",Boots
"They can be harbored, but few hold water. You can nurse them, but only by holding them against someone else. You can carry them, but not with your arms. You can bury them, but not in the earth.",Grudge
"What is it that was given to you, belongs only to you. And yet your friends use it more than you do?",Name
"By Moon or by Sun, I shall be found. Yet I am undone, if there's no light around.",Shadow
"What do you use to hoe a row, slay a foe, and wring with woe?",Hands
"We travel much, yet prisoners are, and close confined to boot. Yet with any horse, we will keep the pace, and will always go on foot.",Spurs
"Without a bridle, or a saddle, across a thing I ride a-straddle. And those I ride, by help of me, though almost blind, are made to see.",Glasses
"I fly through the air on small feathered wings, seeking out life and destroying all things.",Arrow
"I am the red tongue of the earth, that buries cities.",Lava
"I look at you, you look at me, I raise my right, you raise your left.",Mirror
"What is the thing which, once poured out, cannot be gathered again?",Rain
"It is a part of us, and then replaced. It escapes out bodies, to a better place. The world becomes its sizeable home. Its passions unrestraint, the planet it roams.",Water
"What word starts with 'E', ends with 'E', but only has one letter? It is not the letter 'E'.",Envelope
"A hole in a pole, though I fill a hole in white. I'm used more by the day, and less by the night.",Eye
"I fly, yet I have no wings. I cry, yet I have no eyes. Darkness follows me. Lower light I never see.",Cloud
"I'm full of holes, yet I'm full of water.",Sponge
"Long and slinky like a trout, never sings till it's guts come out.",Gun
"What animal keeps the best time?",Watchdog
"What kind of room has no windows or doors?",Mushroom
"I have legs but walk not, a strong back but work not. Two good arms but reach not. A seat but sit and tarry not.",Chair
"It's in your hand though you can not feel it. Only you and time can reveal it.",Fate
"Not born, but from a Mother's body drawn. I hang until half of me is gone. I sleep in a cave until I grow old. Then valued for my hardened gold.",Cheese
"I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt, my merest touch brings laughter.",Feather
"Hands she has but does not hold. Teeth she has but does not bite. Feet she has but they are cold. Eyes she has but without sight.",Doll
"Only two backbones and thousands of ribs.",Railroad
"Hard iron on horse. Cow's hide on man.",Shoe
"What word is the same written forward, backward and upside down?",Noon
"I cannot be felt, seen or touched. Yet I can be found in everybody. My existence is always in debate. Yet I have my own style of music.",Soul
"I am seen in the water. If seen in the sky, I am in the rainbow, a jay's feather, and lapis lazuli.",Blue
"You use it between your head and your toes, the more it works the thinner it grows.",Soap
"Fatherless and motherless. Born without sin, roared when it came into the world. And never spoke again.",Thunder
"Where can you find roads without cars, forests without trees and cities without houses?",Map
"A leathery snake, with a stinging bite. I'll stay coiled up, unless I must fight.",Whip
"Take one out and scratch my head, I am now black but once was red.",Match
"Mountains will crumble and temples will fall. And no man can survive its endless call.",Time
"What has wings, but can not fly. Is enclosed, but can outside also lie. Can open itself up, or close itself away. Is the place of kings and queens and doggerel of every means. What is it upon which I stand? Which can lead us to different lands.",Stage
"I'm the source of all emotion, but I'm caged in a white prison.",Heart
"I am the tool, for inspiring many. Buy me in the store, for not much more than a penny. Don't overuse me, or my usefulness will go.",Pen
"What goes through a door but never goes in. And never comes out?",Keyhole
"What goes up when the rain comes down?",Umbrella
"I occur twice in eternity. And I'm always within sight.",T
"Twigs and spheres and poles and plates. Join and bind to reason make.",Skeleton
"The sun bakes them, the hand breaks them, the foot treads on them, and the mouth tastes them.",Grapes
"I have many feathers to help me fly. I have a body and head, but I'm not alive. It is your strength which determines how far I go. You can hold me in your hand, but I'm never thrown.",Arrow
"What's black when you get it, red when you use it, and white when you're all through with it?",Charcoal
"What has four legs in the morning, two legs in the afternoon, and three legs in the evening?",Man
"Take off my skin, I won't cry, but you will.",Onion
"Hold the tail, while I fish for you.",Net
"I am so simple that I can only point. Yet I guide men all over the world.",Compass
"Iron roof, glass walls, burns and burns and never falls.",Lantern
"Late afternoons I often bathe. I'll soak in water piping hot. My essence goes through. My see through clothes. Used up am I - I've gone to pot.",Teabag
"What can't you see, hear or feel, until its too late. What shadows love, and shopkeepers hate?",Thief
"What can bring back the dead. Make us cry, make us laugh, make us young. Born in an instant yet lasts a life time?",Memory
"I have a neck but no head. I have a body but no arm. I have a bottom but no leg.",Bottle
"A thousand colored folds stretch toward the sky. Atop a tender strand, rising from the land, until killed by maiden's hand. Perhaps a token of love, perhaps to say goodbye.",Flower
"Gold in a leather bag, swinging on a tree, money after honey in its time. Ills of a scurvy crew cured by the sea, reason in its season but no rhyme.",Orange
"A slow, solemn square-dance of warriors feinting. One by one they fall, warriors fainting, thirty-two on sixty-four.",Chess
"He has married many women but has never married.",Priest
"In your fire you hear me scream, creaking and whining, yet I am dead before you lay me in your hearth.",Log
"I weaken all men for hours each day. I show you strange visions while you are away. I take you by night, by day take you back. None suffer to have me, but do from my lack.",Sleep
"I saw a strange creature. Long, hard, and straight, thrusting into a round, dark opening. Preparing to discharge its load of lives. Puffing and squealing noises accompanied it, then a final screech as it slowed and stopped.",Train
"Large as a mountain, small as a pea, endlessly swimming in a waterless sea.",Asteroid
"I do not breathe, but I run and jump. I do not eat, but I swim and stretch. I do not drink, but I sleep and stand. I do not think, but I grow and play. I do not see, but you see me everyday.",Leg
"When liquid splashes me, none seeps through. When I am moved a lot, liquid I spew. When I am hit, color I change. And color, I come in quite a range. What I cover is very complex, and I am very easy to flex.",Skin
"Give it food and it will live, give it water and it will die.",Fire
"A nut cracker up in a tree.",Squirrel
"What happens every second, minute, month, and century. But not every hour, week, year, or decade?",N
"It has no top or bottom, but it can hold flesh, bones, and blood all at the same time.",Ring
"I am free for the taking. Through all of your life, though given but once at birth. I am less than nothing in weight, but will fell the strongest of you if held.",Breath
"My first is in blood and also in battle. My second is in acorn, oak, and apple. My third and fourth are both the same. In the center of sorrow and twice in refrain. My fifth starts eternity ending here. My last is the first of last, Oh Dear.",Barrel
"When I'm metal or wood, I help you get home. When I'm flesh and I'm blood. In the darkness I roam.",Bat
"I march before armies, a thousand salute me. My fall can bring victory, but no one would shoot me. The wind is my lover, one-legged am I. Name me and see me at home in the sky.",Flag
"Tool of thief, toy of queen. Always used to be unseen. Sign of joy, sign of sorrow. Giving all likeness borrowed.",Mask
"What five-letter word becomes shorter when you add two more letters?",Short
"What is pronounced like one letter, written with three letters. And belongs to all animals?",Eye
"What is it that given one, you'll have either two or none?",Choice
"It is greater than God and more evil than the devil. The poor have it, the rich need it, and if you eat it you'll die.",Nothing
"What gets bigger the more you take away from it?",Hole
"The more of it there is, the less you see.",Darkness
"To cross the water I'm the way, for water I'm above. I touch it not and, truth to say, I neither swim nor move.",Bridge
"As beautiful as the setting sun, as delicate as the morning dew. An angel's dusting from the stars. That can turn the Earth into a frosted moon.",Snow
"When set loose I fly away. Never so cursed as when I go astray.",Fart
"How far will a blind dog walk into a forest?",Halfway
"My first is in wield, sever bones and marrow. My second is in blade, forged in cold steel. My third is an arbalest, and also in arrows. My fourth is in power, plunged through a shield. My fifth is in honor, and also in vows. My last will put an end to it all.",Weapon
"Face with a tree, skin like the sea. A great beast I am. Yet vermin frightens me.",Elephant
"I sleep by day, I fly by night. I have no feathers to aid my flight.",Bat
"I am mother and father, but never birth or nurse. I'm rarely still, but I never wander.",Tree
"What goes in the water red, and comes out black?",Iron
"Grows from the ground, bushes and grass, leaves of yellow, red and brow, unruly plants, get the axe, trim the hedge back down.",Hair
"What can touch someone once and last them a life time?",Love
"A dragons tooth in a mortals hand, I kill, I maim, I divide the land.",Sword
"You will find me with four legs, but no hair. People ride me for hours, but I don't go anywhere without needing to be tugged. Jerked or turned on, I always manage to be ready for work.",Desk
"No sooner spoken than broken.",Silence
"Though desert men once called me God, today men call me mad. For I wag my tail when I am angry. And growl when I am glad.",Cat
"An open ended barrel, it is shaped like a hive. It is filled with the flesh, and the flesh is alive.",Thimble
"What kind of pet always stays on the floor?",Carpet
"What flies without wings? What passes all things? What mends all sorrow? What brings the morrow?",Time
"What has a neck and no head, two arms but no hands?",Shirt
"Two in a corner, one in a room, none in a house, but one in a shelter.",R
"What does no man want, yet no man want to lose?",Work
